,Rank_MOJO_by_Box_office,Title,Lifetime Gross_MOJO,Max Theaters,Opening Box,Opening Th,Release Date,Distributor,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
154,190,Metallica: Some Kind of Monster,"$1,222,708",147,"$46,359",3,"Jul 9, 2004",IFC Films,7.5,74.0,"17,196",1h 24min,September 2004 (USA),Joe Berlinger
155,191,The Thin Blue Line,"$1,209,846",23,"$17,814",1,"Aug 26, 1988",Miramax,8.0,79.0,"21,252",1h 41min,25 August 1988 (USA),Errol Morris
156,192,Inequality for All,"$1,205,273",103,"$140,888",28,"Sep 27, 2013",RADiUS-TWC,8.1,68.0,"6,571",1h 29min,24 April 2015 (Norway),Jacob Kornbluth
157,193,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest","$1,200,326",54,"$111,982",4,"Jul 8, 2011",Sony Pictures Classics,7.7,76.0,"3,433",1h 37min,19 January 2012 (Netherlands),Michael Rapaport
158,197,Festival Express,"$1,174,079",43,"$12,074",1,"Jul 23, 2004",THINKFilm,7.6,85.0,"2,138",1h 30min,29 April 2004 (Netherlands),Bob Smeaton
159,198,American Movie,"$1,165,795",29,"$20,260",2,"Nov 5, 1999",Sony Pictures Classics,7.9,84.0,"16,538",1h 47min,13 April 2000 (Australia),Chris Smith
160,199,Vaxxed: From Cover-Up to Catastrophe,"$1,163,265",95,"$28,339",1,"Apr 1, 2016",Cinema Libre Studio,5.2,,"4,370",1h 31min,6 April 2017 (Germany),Andrew Wakefield
161,202,In the Shadow of the Moon,"$1,134,358",104,"$38,281",4,"Sep 7, 2007",THINKFilm,8.0,84.0,"6,500",1h 40min,2 November 2007 (UK),David Sington
162,203,Paper Clips,"$1,121,744",43,"$25,535",5,"Nov 24, 2004",Slowhand Cinema Releasing,7.2,64.0,"1,668",1h 22min,4 August 2006 (UK),Elliot Berlin
163,204,The U.S. vs. John Lennon,"$1,109,146",65,"$69,143",6,"Sep 15, 2006",Lionsgate,7.3,64.0,"5,351",1h 39min,7 December 2006 (Netherlands),David Leaf
164,208,Page One: Inside the New York Times,"$1,067,028",65,"$28,911",2,"Jun 17, 2011",Magnolia Pictures,6.9,68.0,"3,248",1h 32min,29 September 2011 (Denmark),Andrew Rossi
165,209,Leonard Cohen: I'm Your Man,"$1,044,254",55,"$17,130",1,"Jun 21, 2006",Lionsgate,6.8,68.0,"2,074",1h 45min,28 July 2006 (USA),Lian Lunson
166,210,The Eyes of Tammy Faye,"$1,029,591",51,-,-,"Jul 21, 2000",Lionsgate,7.1,69.0,"1,501",1h 19min,1 October 2000 (USA),Fenton Bailey
167,211,Dior and I,"$1,028,953",105,"$45,772",2,"Apr 10, 2015",The Orchard,7.3,70.0,"3,474",1h 30min,10 April 2015 (USA),Frédéric Tcheng
168,212,Diana Vreeland: The Eye Has to Travel,"$1,017,579",27,"$63,700",3,"Sep 21, 2012",The Samuel Goldwyn Company,7.5,69.0,"1,417",1h 26min,21 September 2012 (UK),Lisa Immordino Vreeland
169,213,First Position,"$1,014,071",58,"$48,024",5,"May 4, 2012",IFC Films,7.6,72.0,"3,269",1h 35min,10 August 2012 (Taiwan),Bess Kargman
170,214,Marianne & Leonard: Words of Love,"$1,012,034",101,"$44,942",4,"Jul 5, 2019",Roadside Attractions,6.9,69.0,"1,238",1h 42min,5 July 2019 (USA),Nick Broomfield
171,217,The Dawn Wall,"$970,032",593,-,-,"Sep 19, 2018",Fathom Events,8.1,81.0,"13,522",1h 40min,14 September 2018 (USA),Josh Lowell
172,218,Faces Places,"$953,717",42,"$31,006",5,"Oct 6, 2017",Cohen Media Group,7.9,94.0,"10,436",1h 34min,28 June 2017 (France),JR
173,219,More Than a Game,"$950,675",111,"$182,943",14,"Oct 2, 2009",Lionsgate,7.6,,"5,073",1h 45min,16 October 2009 (Taiwan),Kristopher Belman
174,220,Encounters at the End of the World,"$944,933",39,"$17,730",1,"Jun 11, 2008",THINKFilm,7.7,80.0,"16,938",1h 39min,18 July 2008 (USA),Werner Herzog
175,221,American Teen,"$942,441",109,"$45,589",5,"Jul 25, 2008",Paramount Vantage,6.4,66.0,"4,066",1h 35min,15 August 2008 (USA),Nanette Burstein
176,222,Dark Horse,"$940,715",74,"$13,838",3,"May 6, 2016",Sony Pictures Classics,7.3,75.0,978,1h 25min,17 April 2015 (UK),Louise Osmond
177,223,Patterns of Evidence: Exodus,"$925,576",652,"$764,309",652,"Jan 19, 2015",Thinking Man Films,7.2,,996,1h 55min,19 January 2015 (USA),Tim Mahoney
178,224,35 Up,"$922,872",21,"$13,690",1,"Jan 15, 1992",The Samuel Goldwyn Company,8.2,,"2,282",2h 3min,TV Movie 15 January 1992,Michael Apted
179,228,Jesus Camp,"$902,544",52,"$17,659",13,"Sep 15, 2006",Magnolia Pictures,7.4,62.0,"26,176",1h 27min,22 December 2006 (Canada),Heidi Ewing
180,229,The War Room,"$901,668",21,"$15,264",1,"Nov 3, 1993",October Films,7.3,78.0,"3,786",1h 36min,January 1994 (USA),Chris Hegedus
181,230,The Imposter,"$898,317",31,"$22,379",1,"Jul 13, 2012",-,7.5,77.0,"44,629",1h 39min,24 August 2012 (UK),Bart Layton
182,231,The Wildest Dream,"$898,137",21,"$67,848",12,"Aug 6, 2010",National Geographic Entertainment,7.3,,"2,347",1h 34min,6 August 2010 (USA),Anthony Geffen
183,233,Tea With the Dames,"$889,343",71,"$14,777",1,"Sep 21, 2018",IFC Films,7.3,85.0,"1,810",1h 24min,2 May 2018 (UK),Roger Michell
184,234,Tyson,"$887,918",56,"$85,046",11,"Apr 24, 2009",Sony Pictures Classics,7.5,83.0,"12,098",1h 30min,15 May 2009 (USA),James Toback
185,235,"Fast, Cheap & Out of Control","$878,960",40,"$23,665",2,"Oct 3, 1997",Sony Pictures Classics,7.2,,"3,599",1h 20min,3 October 1997 (USA),Errol Morris
186,237,Particle Fever,"$869,838",27,"$53,901",4,"Mar 5, 2014",Abramorama,7.4,87.0,"7,134",1h 39min,3 September 2014 (Netherlands),Mark Levinson
187,238,The Cove,"$857,005",56,"$57,640",4,"Jul 31, 2009",Roadside Attractions,8.4,84.0,"46,897",1h 32min,7 August 2009 (USA),Louie Psihoyos
188,240,Sharkwater,"$850,920",60,"$37,140",60,"Sep 28, 2007",Freestyle Releasing,8.0,,"4,759",1h 29min,2 November 2007 (USA),Rob Stewart
189,241,Generation Iron,"$849,521",84,"$245,000",53,"Sep 20, 2013",The Vladar Company,7.1,61.0,"7,531",1h 46min,20 September 2013 (USA),Vlad Yudin
190,242,Arctic Tale,"$833,532",227,"$22,607",4,"Jul 25, 2007",Paramount Vantage,7.0,64.0,"1,770",1h 36min,17 August 2007 (USA),Adam Ravetch
191,243,I.O.U.S.A.,"$821,046",358,"$61,313",18,"Aug 22, 2008",Roadside Attractions,7.5,70.0,"1,822",1h 25min,14 November 2008 (UK),Patrick Creadon
192,244,Bombshell: The Hedy Lamarr Story,"$820,300",36,"$8,000",1,"Nov 24, 2017",Zeitgeist Films,7.4,70.0,"3,225",1h 28min,8 March 2018 (Ireland),Alexandra Dean
193,246,Honeyland,"$815,082",56,"$31,381",2,"Jul 26, 2019",Neon,8.0,86.0,"12,477",1h 29min,26 July 2019 (USA),Tamara Kotevska
194,247,Life Itself,"$810,454",100,"$131,411",23,"Jul 4, 2014",Magnolia Pictures,7.8,87.0,"14,711",2h 1min,4 July 2014 (USA),Steve James
195,249,The Tillman Story,"$802,535",28,"$52,185",4,"Aug 20, 2010",The Weinstein Company,7.7,86.0,"4,514",1h 34min,23 January 2010 (USA),Amir Bar-Lev
196,250,Visions of Light,"$799,856",13,"$27,761",2,"Feb 24, 1993",Kino International,7.7,,"3,006",1h 32min,24 February 1993 (USA),Arnold Glassman
197,253,Up the Yangtze,"$783,969",23,"$15,851",1,"Apr 25, 2008",Zeitgeist Films,7.5,84.0,"1,775",1h 33min,11 July 2008 (Poland),Yung Chang
198,256,To Be and to Have,"$777,129",14,"$20,528",3,"Sep 19, 2003",New Yorker Films,7.8,87.0,"7,717",1h 44min,28 August 2002 (France),Nicolas Philibert
199,259,For All Mankind,"$770,132",9,"$33,777",6,"Nov 1, 1989",Apollo Associates,8.2,79.0,"4,998",1h 20min,19 May 1989 (USA),Al Reinert
200,261,First Descent,"$750,805",243,"$438,615",243,"Dec 2, 2005",Universal Pictures,7.1,,"1,054",1h 50min,2 December 2005 (USA),Kemp Curly
201,262,Seymour: An Introduction,"$743,541",64,"$26,587",2,"Mar 13, 2015",IFC Films,7.4,83.0,"1,001",1h 24min,10 September 2015 (Netherlands),Ethan Hawke
202,264,The Game Changers,"$739,711",610,-,-,"Sep 16, 2019",Fathom Events,7.9,,"14,830",1h 26min,16 September 2019 (USA),Louie Psihoyos
203,265,Forks Over Knives,"$739,561",39,"$17,645",1,"Jan 7, 2011",-,7.7,,"11,545",1h 30min,16 October 2013 (France),Lee Fulkerson
204,267,Lost in La Mancha,"$732,393",24,"$63,303",8,"Jan 31, 2003",IFC Films,7.3,74.0,"11,122",1h 29min,2 August 2002 (UK),Keith Fulton
205,270,The Big One,"$720,074",53,"$146,909",33,"Apr 10, 1998",Miramax,7.0,,"7,647",1h 31min,10 April 1998 (USA),Michael Moore
206,273,The 11th Hour,"$707,343",111,"$60,853",4,"Aug 17, 2007",Warner Independent Pictures (WIP),7.3,63.0,"5,543",1h 35min,10 October 2007 (Philippines),Leila Conners
207,275,Cartel Land,"$704,352",65,"$15,581",2,"Jul 3, 2015",The Orchard,7.4,76.0,"17,671",1h 40min,3 July 2015 (USA),Matthew Heineman
208,277,Tabloid,"$696,921",37,"$91,201",14,"Jul 15, 2011",IFC Films,7.0,74.0,"6,571",1h 27min,11 November 2011 (UK),Errol Morris
209,278,Muscle Shoals,"$696,241",56,"$13,901",1,"Sep 27, 2013",Magnolia Pictures,7.7,75.0,"3,453",1h 51min,25 October 2013 (UK),Greg 'Freddy' Camalier
210,279,Red Army,"$694,600",84,"$20,100",3,"Jan 23, 2015",Sony Pictures Classics,7.6,83.0,"6,553",1h 24min,29 January 2015 (Germany),Gabe Polsky
211,281,Chris Brown: Welcome To My Life,"$693,984",413,-,-,"Jun 8, 2017",Fathom Events,5.7,,"1,007",1h 20min,8 June 2017 (USA),Andrew Sandler
212,282,Inside Deep Throat,"$691,880",27,"$88,709",12,"Feb 11, 2005",Universal Pictures,6.7,64.0,"6,445",1h 29min,21 April 2005 (Russia),Fenton Bailey
213,285,The King of Kong: A Fistful of Quarters,"$677,914",58,"$51,493",5,"Aug 17, 2007",Picturehouse,8.1,83.0,"34,450",1h 19min,28 February 2008 (Australia),Seth Gordon
214,286,Kurt & Courtney,"$668,228",12,"$16,835",1,"Feb 27, 1998",Roxie Releasing,6.1,,"6,843",1h 35min,27 February 1998 (USA),Nick Broomfield
215,287,Anvil: The Story of Anvil,"$667,911",27,"$34,651",3,"Apr 10, 2009",Abramorama,7.9,82.0,"15,462",1h 20min,20 February 2009 (UK),Sacha Gervasi
216,288,Jodorowsky's Dune,"$647,280",61,"$36,018",3,"Mar 21, 2014",Sony Pictures Classics,8.1,79.0,"21,327",1h 30min,16 March 2016 (France),Frank Pavich
217,290,City of Gold,"$640,979",50,"$62,959",4,"Mar 11, 2016",IFC Films,7.2,72.0,914,1h 36min,11 March 2016 (USA),Laura Gabbert
218,291,Dust to Glory,"$640,013",80,"$15,757",2,"Apr 1, 2005",IFC Films,7.5,61.0,928,1h 37min,22 April 2005 (USA),Dana Brown
219,292,The Greatest Movie Ever Sold,"$638,476",141,"$118,294",18,"Apr 22, 2011",Sony Pictures Classics,6.6,66.0,"14,536",1h 30min,24 August 2011 (Iceland),Morgan Spurlock
220,293,The Last Lions,"$635,325",61,"$53,344",4,"Feb 18, 2011",National Geographic Entertainment,8.3,69.0,"3,991",1h 28min,18 February 2011 (USA),Dereck Joubert
221,296,"Love, Gilda","$626,318",112,"$189,639",82,"Sep 21, 2018",Magnolia Pictures,7.4,74.0,"1,320",1h 28min,21 September 2018 (USA),Lisa D'Apolito
222,299,Tickled,"$613,956",53,"$21,898",2,"Jun 17, 2016",Magnolia Pictures,7.6,76.0,"16,063",1h 32min,17 June 2016 (USA),David Farrier
223,301,The Filth and the Fury,"$612,192",29,"$13,305",1,"Mar 29, 2000",Fine Line Features,7.7,82.0,"5,544",1h 48min,12 May 2000 (UK),Julien Temple
224,302,Gunner Palace,"$607,844",56,"$63,520",8,"Mar 4, 2005",Palm Pictures,6.6,70.0,"1,884",1h 25min,5 September 2004 (USA),Petra Epperlein
225,304,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,"$603,894",962,"$464,170",962,"Feb 8, 2008",Picturehouse,6.2,,"1,567",1h 40min,8 February 2008 (USA),Ari Sandel
226,306,Lo and Behold: Reveries of the Connected World,"$594,912",51,"$114,273",39,"Aug 19, 2016",Magnolia Pictures,7.0,76.0,"11,745",1h 38min,19 August 2016 (USA),Werner Herzog
227,307,Tarnation,"$592,014",22,"$12,740",1,"Oct 6, 2004",Wellspring Media,7.1,87.0,"6,314",1h 28min,10 November 2004 (France),Jonathan Caouette
228,309,Powaqqatsi,"$589,244",22,"$27,899",1,"Apr 29, 1988",Cannon Film Distributors,7.3,,"7,678",1h 39min,8 September 1988 (Netherlands),Godfrey Reggio
229,310,Elvis on Tour,"$587,818",-,-,-,"Jul 29, 2010",Warner Bros.,7.6,,"1,340",1h 33min,1 November 1972 (USA),Robert Abel
230,311,Gleason,"$583,664",148,"$91,583",9,"Jul 29, 2016",Open Road Films (II),8.4,80.0,"2,524",1h 50min,29 July 2016 (USA),Clay Tweel
231,312,Salinger,"$583,633",138,"$86,956",4,"Sep 6, 2013",The Weinstein Company,6.7,,"2,425",2h,5 September 2013 (Australia),Shane Salerno
232,313,Pick of the Litter,"$578,717",60,"$16,519",2,"Aug 31, 2018",IFC Films,7.6,64.0,"1,131",1h 20min,31 August 2018 (USA),Don Hardy
233,316,The Weather Underground,"$564,632",14,"$13,984",1,"Jun 4, 2003",Shadow Distribution,7.4,77.0,"3,411",1h 32min,13 November 2003 (Australia),Sam Green
234,317,Hands on a Hardbody: The Documentary,"$563,482",6,"$7,607",1,"Jul 10, 1998",Providence Entertainment,7.6,82.0,"1,738",1h 38min,10 July 1998 (USA),S.R. Bindler
235,318,Undefeated,"$562,218",21,"$33,165",5,"Feb 17, 2012",The Weinstein Company,7.7,71.0,"6,709",1h 53min,3 August 2012 (UK),Daniel Lindsay
236,322,The Art of the Steal,"$544,890",34,"$39,019",3,"Feb 26, 2010",IFC Films,7.6,75.0,"2,231",1h 41min,29 September 2009 (USA),Don Argott
237,325,Incident at Oglala,"$536,848",12,"$19,070",3,"May 8, 1992",Miramax,7.5,,"1,034",1h 29min,26 June 1992 (USA),Michael Apted
238,326,Ai Weiwei: Never Sorry,"$534,100",37,"$41,104",5,"Jul 27, 2012",IFC Films,7.6,81.0,"4,181",1h 31min,14 June 2012 (Germany),Alison Klayman
239,327,Wild Man Blues,"$533,759",25,"$54,458",3,"Apr 17, 1998",New Line Cinema,6.9,,"2,133",1h 45min,17 April 1998 (USA),Barbara Kopple
240,329,Human Flow,"$527,845",36,"$45,677",3,"Oct 13, 2017",Magnolia Pictures,7.0,77.0,"2,351",2h 20min,20 October 2017 (USA),Weiwei Ai
241,330,The First Monday in May,"$527,474",45,"$99,242",20,"Apr 15, 2016",Magnolia Pictures,7.2,,"1,453",1h 30min,15 April 2016 (USA),Andrew Rossi
242,332,Trouble the Water,"$520,151",15,"$28,606",3,"Aug 22, 2008",Zeitgeist Films,7.3,83.0,"1,913",1h 33min,5 December 2008 (UK),Carl Deal
243,334,"Thelonious Monk: Straight, No Chaser","$518,918",11,"$31,842",2,"Oct 1, 1989",Warner Bros.,7.6,,"1,052",1h 30min,1 October 1989 (USA),Charlotte Zwerin
244,336,The Black Panthers: Vanguard of the Revolution,"$516,893",12,"$20,215",1,"Sep 2, 2015",PBS Distribution,7.3,79.0,"1,805",1h 55min,23 October 2015 (UK),Stanley Nelson
245,337,The Trials of Henry Kissinger,"$516,726",8,"$14,667",1,"Sep 25, 2002",First Run,7.6,72.0,"1,916",1h 20min,7 May 2003 (France),Eugene Jarecki
246,338,Shut Up and Play the Hits,"$510,334",161,-,-,"Jul 18, 2012",Oscilloscope,7.4,72.0,"2,610",1h 48min,18 July 2012 (USA),Will Lovelace
247,339,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.","$507,941",28,"$24,125",3,"Dec 29, 1999",Lionsgate,7.5,78.0,"5,293",1h 31min,14 January 2000 (USA),Errol Morris
248,343,Steve Jobs: The Man in the Machine,"$494,506",68,"$140,064",68,"Sep 4, 2015",Magnolia Pictures,6.9,72.0,"5,754",2h 8min,4 September 2015 (USA),Alex Gibney
249,344,The Act of Killing,"$486,919",29,"$27,450",1,"Jul 19, 2013",Drafthouse Films,8.2,91.0,"34,501",1h 57min,8 November 2012 (Denmark),Joshua Oppenheimer
250,346,The Flat,"$471,842",27,"$19,916",3,"Oct 19, 2012",IFC Films,6.9,83.0,"1,456",1h 37min,14 June 2012 (Germany),Arnon Goldfinger
251,347,Pearl Jam Twenty,"$471,334",60,"$102,448",7,"Sep 20, 2011",Abramorama,8.3,,"7,533",1h 49min,21 October 2011 (USA),Cameron Crowe
252,350,Last Days in Vietnam,"$466,114",25,"$30,500",2,"Sep 5, 2014",American Experience Films,7.6,86.0,"3,676",1h 38min,17 January 2014 (USA),Rory Kennedy
253,351,Scotty and the Secret History of Hollywood,"$461,689",34,"$28,144",1,"Jul 27, 2018",Greenwich Entertainment,6.6,67.0,"1,070",1h 38min,27 July 2018 (USA),Matt Tyrnauer
254,352,Outfoxed: Rupert Murdoch's War on Journalism,"$461,572",18,"$77,982",5,"Aug 6, 2004",Cinema Libre Studio,7.5,,"6,076",1h 18min,13 July 2004 (USA),Robert Greenwald
255,353,The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,"$453,993",12,"$1,114",1,"Jan 29, 2010",First Run,7.7,75.0,"2,239",1h 32min,17 October 2009 (USA),Judith Ehrlich
256,355,I Am Trying to Break Your Heart,"$445,522",13,"$10,776",1,"Jul 26, 2002",Cowboy Pictures,7.5,66.0,"2,008",1h 32min,21 June 2002 (USA),Sam Jones
257,358,Gimme Danger,"$440,627",71,"$44,725",3,"Oct 28, 2016",Magnolia Pictures,7.2,72.0,"4,879",1h 48min,5 August 2016 (Norway),Jim Jarmusch
258,362,I Want Your Money,"$433,588",537,"$249,428",537,"Oct 15, 2010",Freestyle Releasing,4.7,,"1,259",1h 32min,15 October 2010 (USA),Ray Griggs
259,364,Listen to Me Marlon,"$425,831",38,"$30,068",2,"Jul 29, 2015",-,8.2,87.0,"6,902",1h 43min,29 July 2015 (USA),Stevan Riley
260,365,Hail Satan?,"$424,284",67,"$26,496",3,"Apr 17, 2019",Magnolia Pictures,7.3,76.0,"5,169",1h 35min,17 April 2019 (USA),Penny Lane
261,366,Sound City,"$422,853",50,"$62,842",16,"Feb 1, 2013",Variance Films,7.8,76.0,"12,030",1h 47min,18 February 2013 (UK),Dave Grohl
262,367,She's Beautiful When She's Angry,"$421,573",19,"$10,505",1,"Dec 5, 2014",International Film Circuit,7.8,80.0,"1,462",1h 32min,2 October 2014 (USA),Mary Dore
263,368,Porn Star: The Legend of Ron Jeremy,"$421,516",7,"$23,865",2,"Nov 30, 2001",-,6.3,,"2,274",1h 17min,January 2001 (USA),Scott J. Gill
264,369,The Last Days,"$421,432",32,"$20,492",3,"Feb 5, 1999",October Films,7.5,,"1,813",1h 27min,15 July 1999 (Australia),James Moll
265,370,Heart of a Dog,"$420,813",22,"$13,893",1,"Oct 21, 2015",Abramorama,7.1,84.0,"2,058",1h 15min,1 March 2016 (USA),Laurie Anderson
266,372,In the Realms of the Unreal,"$417,120",13,"$15,477",3,"Dec 22, 2004",Wellspring Media,7.3,74.0,"2,063",1h 21min,29 March 2008 (Japan),Jessica Yu
267,373,Project Nim,"$411,184",22,"$25,820",4,"Jul 8, 2011",Roadside Attractions,7.4,83.0,"8,135",1h 33min,12 August 2011 (UK),James Marsh
268,374,Janis: Little Girl Blue,"$410,465",26,"$21,861",2,"Nov 27, 2015",FilmRise,7.4,74.0,"4,908",1h 43min,15 December 2015 (USA),Amy Berg
269,375,Unbranded,"$410,185",80,"$141,416",80,"Sep 25, 2015",Gravitas Ventures,7.4,64.0,"1,347",1h 46min,9 October 2015 (USA),Phillip Baribeau
270,376,Chasing Trane: The John Coltrane Documentary,"$406,284",17,"$16,626",1,"Apr 14, 2017",Abramorama,7.3,,"1,987",1h 39min,14 April 2017 (USA),John Scheinfeld
271,377,The Hunting Ground,"$405,917",25,"$22,464",2,"Feb 27, 2015",RADiUS-TWC,7.4,77.0,"5,829",1h 43min,1 January 2016 (Belgium),Kirby Dick
272,382,End of the Century,"$391,950",10,"$18,422",1,"Aug 20, 2004",Magnolia Pictures,8.0,74.0,"3,509",1h 50min,27 November 2004 (Japan),Jim Fields
273,383,Detropia,"$390,024",24,"$17,414",1,"Sep 7, 2012",Loki Films,6.4,68.0,"1,542",1h 30min,21 January 2012 (USA),Heidi Ewing
274,385,Where in the World Is Osama Bin Laden?,"$384,955",102,"$148,698",102,"Apr 18, 2008",The Weinstein Company,6.5,,"5,875",1h 30min,9 May 2008 (UK),Morgan Spurlock
275,386,Dirty Wars,"$384,473",31,"$63,504",4,"Jun 7, 2013",IFC Films,7.5,76.0,"8,957",1h 27min,18 October 2013 (Spain),Rick Rowley
276,387,The Armstrong Lie,"$383,294",77,"$28,992",5,"Nov 8, 2013",Sony Pictures Classics,7.3,67.0,"7,181",2h 4min,14 November 2013 (Portugal),Alex Gibney
277,389,What We Left Behind: Star Trek DS9,"$382,457",795,-,-,"May 13, 2019",Fathom Events,8.4,,"1,184",1h 56min,13 May 2019 (USA),Ira Steven Behr
278,394,Grace Jones: Bloodlight and Bami,"$375,208",36,"$56,171",3,"Apr 13, 2018",Kino Lorber,6.2,75.0,980,1h 55min,13 April 2018 (USA),Sophie Fiennes
279,395,Genghis Blues,"$374,550",6,"$6,524",1,"Jul 1, 1999",Roxie Releasing,7.9,,"1,267",1h 28min,28 October 1999 (New Zealand),Roko Belic
280,396,The Decline of Western Civilization Part II: The Metal Years,"$373,743",21,"$45,008",21,"Jun 3, 1988",New Line Cinema,7.2,,"3,358",1h 33min,24 August 1989 (Australia),Penelope Spheeris
281,400,Glen Campbell: I'll Be Me,"$365,422",18,"$86,741",10,"Oct 24, 2014",Area 23a,8.0,79.0,"1,479",1h 56min,21 September 2019 (Japan),James Keach
282,401,Mountain,"$365,412",35,"$6,067",1,"May 11, 2018",Greenwich Entertainment,7.2,82.0,"3,625",1h 14min,11 May 2018 (USA),Jennifer Peedom
283,408,Long Strange Trip - The Untold Story of The Grateful Dead,"$351,957",56,"$33,272",56,"May 25, 2017",Abramorama,8.2,78.0,"1,322",3h 58min,26 May 2017 (USA),Amir Bar-Lev
284,412,Happy People: A Year in the Taiga,"$338,987",23,"$10,481",1,"Jan 25, 2013",Music Box Films,7.7,74.0,"7,624",1h 30min,15 November 2012 (Germany),Werner Herzog
285,413,Kings of Pastry,"$336,386",10,"$15,162",2,"Sep 15, 2010",First Run,6.9,69.0,"1,043",1h 27min,June 2010 (USA),Chris Hegedus
286,414,The Devil and Daniel Johnston,"$334,450",17,"$23,192",5,"Mar 31, 2006",Sony Pictures Classics,7.9,77.0,"9,213",1h 50min,5 May 2006 (UK),Jeff Feuerzeig
287,415,Ballet 422,"$333,554",27,"$27,653",2,"Feb 6, 2015",Magnolia Pictures,6.2,74.0,"1,100",1h 15min,19 April 2014 (USA),Jody Lee Lipes
288,417,The Central Park Five,"$325,653",22,"$30,570",3,"Nov 23, 2012",IFC Films,7.7,79.0,"6,865",1h 59min,25 April 2014 (Germany),Ken Burns
289,419,A Film Unfinished,"$320,486",16,"$34,060",4,"Aug 18, 2010",Oscilloscope,7.4,88.0,"1,698",1h 28min,2010 (Israel),Yael Hersonski
290,422,Bukowski: Born into This,"$318,816",8,"$27,095",5,"May 28, 2004",Magnolia Pictures,7.9,77.0,"3,317",2h 10min,30 April 2004 (UK),John Dullaghan
291,423,Trekkies,"$318,246",339,"$125,636",339,"May 21, 1999",Paramount Classics,6.9,64.0,"4,709",1h 26min,8 November 2002 (Hungary),Roger Nygard
292,428,Grass,"$313,039",10,"$21,578",2,"May 31, 2000",-,7.2,64.0,"3,437",1h 20min,14 July 2000 (Spain),Ron Mann
293,429,For the Bible Tells Me So,"$312,751",15,"$7,412",1,"Oct 5, 2007",First Run,7.8,73.0,"4,321",1h 35min,5 October 2007 (USA),Daniel G. Karslake
294,430,The Hornet's Nest,"$312,706",57,"$26,550",4,"May 9, 2014",Freestyle Releasing,6.7,61.0,"2,285",1h 33min,9 May 2014 (USA),David Salzberg
295,431,L'amour fou,"$312,494",18,"$37,250",2,"May 13, 2011",IFC Films,6.8,63.0,962,1h 38min,13 May 2011 (USA),Pierre Thoretton
296,432,West of Memphis,"$310,154",40,"$13,360",5,"Dec 25, 2012",Sony Pictures Classics,7.9,80.0,"9,719",2h 27min,22 November 2012 (Portugal),Amy Berg
297,434,The Panama Deception,"$309,596",11,"$6,563",1,"Jul 31, 1992",Empowerment Project,7.6,,991,1h 31min,31 July 1992 (USA),Barbara Trent
298,435,Bigger Stronger Faster*,"$308,575",26,"$31,576",6,"May 30, 2008",Magnolia Pictures,7.6,80.0,"13,042",1h 45min,19 January 2008 (USA),Chris Bell
299,436,Merchants of Doubt,"$308,156",30,"$20,300",4,"Mar 6, 2015",Sony Pictures Classics,7.7,70.0,"3,571",1h 36min,12 December 2014 (UK),Robert Kenner
300,437,Aquarela,"$307,346",69,"$24,753",5,"Aug 16, 2019",Sony Pictures Classics,6.6,80.0,"1,070",1h 30min,12 December 2019 (Germany),Viktor Kosakovskiy
301,439,This Film Is Not Yet Rated,"$306,845",18,"$30,664",2,"Sep 1, 2006",IFC Films,7.5,75.0,"27,228",1h 38min,1 September 2006 (UK),Kirby Dick
302,442,Being Elmo: A Puppeteer's Journey,"$304,052",15,"$22,963",1,"Oct 21, 2011",Submarine Deluxe,7.6,71.0,"6,693",1h 20min,27 April 2012 (UK),Constance Marks
303,443,Linsanity,"$302,645",16,"$99,462",9,"Oct 4, 2013",Ketchup Entertainment,7.3,,"1,885",1h 29min,2 October 2013 (Philippines),Evan Jackson Leong
304,444,God Grew Tired of Us,"$301,447",10,"$21,858",2,"Jan 12, 2007",Newmarket Films,7.9,72.0,"2,726",1h 29min,12 January 2007 (USA),Christopher Dillon Quinn
305,445,Crazy Love,"$301,027",38,"$17,952",3,"Jun 1, 2007",Magnolia Pictures,7.1,69.0,"2,376",1h 32min,1 June 2007 (USA),Dan Klores
306,446,42 Up,"$300,880",5,"$11,599",1,"Nov 17, 1999",First Run,8.2,86.0,"2,380",2h 19min,TV Movie 21 July 1998,Michael Apted
307,448,Room 237,"$296,359",28,"$29,693",2,"Mar 29, 2013",IFC Films,6.2,80.0,"20,729",1h 42min,26 October 2012 (UK),Rodney Ascher
308,451,Scratch,"$289,885",7,-,-,"Feb 15, 2002",Palm Pictures,7.9,77.0,"2,687",1h 32min,7 November 2001 (France),Doug Pray
309,452,Antarctica: A Year on Ice,"$288,757",30,"$32,238",8,"Nov 28, 2014",Music Box Films,7.6,69.0,"3,289",1h 31min,28 November 2014 (USA),Anthony Powell
310,455,Something from Nothing: The Art of Rap,"$288,000",157,"$150,337",157,"Jun 15, 2012",-,7.2,66.0,"3,309",1h 46min,20 July 2012 (UK),Ice-T
311,456,American Pimp,"$287,724",9,"$28,699",5,"Jun 9, 2000",Seventh Art Releasing,6.7,,"2,132",1h 27min,January 1999 (USA),Albert Hughes
