,Rank_BX,Year,Title,Worldwide Box Office_BX,Domestic Box Office_BX,International Box Office_BX
376,373,2015,Peggy Guggenheim: Art Addict,"$995,688","$498,428","$497,260"
377,374,2018,De Wilde Stad,"$989,367",,"$989,367"
378,375,2008,American Teen,"$989,319","$942,441","$46,878"
379,376,2019,Miles Davis: Birth of the Cool,"$987,036","$614,201","$372,835"
380,377,2016,Spy Nation,"$978,814",,"$978,814"
381,378,2018,Ryuichi Sakamoto: Coda,"$977,247","$117,460","$859,787"
382,379,2015,Seymour: An Introduction,"$968,313","$729,744","$238,569"
383,380,2009,Tyson,"$967,296","$887,918","$79,378"
384,381,2019,Documentary of Nogizaka 46 Who Is Here Before Me,"$963,285",,"$963,285"
385,382,2016,Gimme Danger,"$961,911","$440,627","$521,284"
386,383,2009,More Than a Game,"$960,387","$950,675","$9,712"
387,384,2017,La mÃ©lodie,"$945,640",,"$945,640"
388,385,2016,Den unge Zlatan,"$941,572",,"$941,572"
389,386,2015,Best of Enemies,"$940,936","$892,802","$48,134"
390,387,2016,Masters in Forbidden City,"$928,773",,"$928,773"
391,388,2019,Toni Morrison: The Pieces I Am,"$927,422","$903,018","$24,404"
392,389,2017,Jeosuji Geim,"$924,262",,"$924,262"
393,390,1998,Hands on a Hardbody,"$909,650","$909,650",
394,391,2012,First Position,"$908,235","$908,235",
395,392,2016,Poi E: The Story of Our Song,"$903,779",,"$903,779"
396,393,2016,One More Time with Feeling,"$902,362",,"$902,362"
397,394,2013,Generation Iron,"$901,649","$849,521","$52,128"
398,395,2018,Beyond the Mountains,"$889,012",,"$889,012"
399,396,2012,Chasing Ice,"$880,426","$612,089","$268,337"
400,397,2014,Particle Fever,"$869,838","$869,838",
401,398,2019,Mystify: Michael Hutchence,"$869,322",,"$869,322"
402,399,2013,Girl Rising,"$849,484","$849,484",
403,400,1997,"Fast, Cheap & Out of Control","$848,801","$848,801",
404,,,,,,
405,401,2019,Die Toten Hosen - Tour 2018,"$846,293",,"$846,293"
406,402,2017,La vallÃ©e des loups,"$846,012",,"$846,012"
407,403,2019,Madre,"$845,181",,"$845,181"
408,404,2007,Wie man sein leben kocht,"$840,987","$840,987",
409,405,2008,I.O.U.S.A.,"$821,046","$821,046",
410,406,2015,Wansei hui jia,"$820,658",,"$820,658"
411,407,2014,Life Itself,"$819,245","$810,454","$8,791"
412,408,2001,Trembling Before G-D,"$814,801","$763,755","$51,046"
413,409,2019,Between Me and My Mind,"$813,844","$813,844",
414,410,2012,Bill W.,"$809,590","$809,590",
415,411,2015,The Wrecking Crew,"$809,437","$801,606","$7,831"
416,412,2012,Ai Weiwei: Never Sorry,"$807,756","$489,074","$318,682"
417,413,2015,Red Army,"$803,350","$694,647","$108,703"
418,414,2010,The Tillman Story,"$798,940","$798,940",
419,415,2007,The King of Kong,"$790,985","$674,925","$116,060"
420,416,2007,Die groÃe Stille,"$790,452","$790,452",
421,417,2015,Firenze e gli Uffizi 3D/4K,"$789,773",,"$789,773"
422,418,2017,The Paris Opera,"$785,473","$55,482","$729,991"
423,419,2008,Up the Yangtze,"$783,969","$783,969",
424,420,2011,POM Wonderful Presents: The Greatest Movie Ever…,"$783,733","$638,476","$145,257"
425,421,2017,"Seo-seo-pyeong, Cheon-cheon-hi Pyeong-on-ha-ge","$781,347",,"$781,347"
426,422,2009,The Wonder of it All,"$781,016","$781,016",
427,423,2018,Anthropocene: The Human Epoch,"$776,078","$546,722","$229,356"
428,424,2000,The Girl Next Door,"$769,472","$769,472",
429,425,2019,Kyohoiobba,"$767,605",,"$767,605"
430,426,2017,CantÃ¡brico,"$762,247",,"$762,247"
431,427,2018,Do Not Miss It,"$761,348",,"$761,348"
432,428,2018,Wild,"$761,241",,"$761,241"
433,429,2013,Great White Shark,"$760,886",,"$760,886"
434,430,2012,The Flat,"$754,544","$471,842","$282,702"
435,431,2018,Pick of the Litter,"$750,241","$578,717","$171,524"
436,432,2019,Everybodyâs Everything,"$748,539","$547,207","$201,332"
437,433,2009,The Cross: The Arthur Blessitt Story,"$741,557","$741,557",
438,434,2005,First Descent,"$739,690","$739,690",
439,435,2010,I'm Still Here,"$737,645","$408,983","$328,662"
440,436,2007,Deep Water,"$736,762","$271,143","$465,619"
441,437,2019,David Crosby: Remember My Name,"$732,515","$732,515",
442,438,2020,Herons,"$730,000",,"$730,000"
443,439,2004,Fade to Black,"$728,802","$728,802",
444,440,2006,Sketches of Frank Gehry,"$727,160","$439,309","$287,851"
445,441,2013,Hidden Universe,"$726,966",,"$726,966"
446,442,2017,May it Last: A Portrait of the Avett Brothers,"$725,286","$725,286",
447,443,2018,Itzhak,"$724,641","$618,626","$106,015"
448,444,2019,Whereâs My Roy Cohn?,"$722,109","$704,780","$17,329"
449,445,1998,The Big One,"$720,074","$720,074",
450,446,1987,Hail! Hail! Rock'n'Roll,"$719,323","$719,323",
451,447,2015,Holland: Natuur in de Delta,"$718,510",,"$718,510"
452,448,2019,China's Posts-00s,"$713,623",,"$713,623"
453,449,2017,12 jours,"$712,720","$2,633","$710,087"
454,450,2002,Shanghai Ghetto,"$712,446","$712,446",
455,451,2013,56 Up,"$701,278","$701,278",
456,452,2007,When the Road Bends: Tales of a Gypsy Caravan,"$697,062","$442,936","$254,126"
457,453,2011,Tabloid!,"$696,921","$696,921",
458,454,2013,Muscle Shoals,"$696,241","$696,241",
459,455,2018,Klimt & Schiele: Eros And Psyche,"$695,918",,"$695,918"
460,456,2019,Raise Hell: The Life and Times of Molly Ivins,"$694,410","$694,410",
461,457,2018,Hello Life,"$693,523",,"$693,523"
462,458,2005,Inside Deep Throat,"$691,880","$691,880",
463,459,2019,Aquarela,"$686,652","$301,429","$385,223"
464,460,1995,Wigstock: The Movie,"$686,152","$686,152",
465,461,2017,Kimkwangseok,"$685,234",,"$685,234"
466,462,2016,City of Gold,"$680,784","$608,799","$71,985"
467,463,2003,Tibet - Cry of the Snow Lion,"$672,850","$577,841","$95,009"
468,464,2014,Zheng qi,"$664,953",,"$664,953"
469,465,2015,Ximalaya Tianti,"$660,000",,"$660,000"
470,466,2019,The Prado Museum: A Collection of Wonders,"$657,262",,"$657,262"
471,467,2015,Hitchcock/Truffaut,"$657,031","$304,899","$352,132"
472,468,2009,Egypt 3D: Secrets of the Mummies,"$654,908",,"$654,908"
473,469,2016,Harry & Snowman,"$652,081","$562,159","$89,922"
474,470,2019,Bethany Hamilton: Unstoppable,"$647,695","$590,671","$57,024"
475,471,2014,Jodorowskyâs Dune,"$646,512","$646,512",
476,472,2012,Shut Up and Play the Hits,"$646,222","$510,334","$135,888"
477,473,2016,Mr. Gaga,"$646,059","$173,994","$472,065"
478,474,2016,Bolshoi Babylon,"$644,896",,"$644,896"
479,475,2013,The Armstrong Lie,"$643,885","$381,703","$262,182"
480,476,2017,"Muchos Hijos, un Mono y un Castillo","$643,281",,"$643,281"
481,477,2015,Unbranded,"$640,794","$410,185","$230,609"
482,478,2017,Die Unsichtbaren,"$640,126","$408,397","$231,729"
483,479,2005,Dust to Glory,"$639,990","$639,990",
484,480,2017,McLaren,"$638,602",,"$638,602"
485,481,2011,The Last Lions,"$635,325","$635,325",
486,482,2012,Whoresâ Glory,"$630,541","$306,151","$324,390"
487,483,2018,"Love, Gilda","$626,318","$626,318",
488,484,2017,Grace Jones: Bloodlight and Bami,"$626,210","$375,208","$251,002"
489,485,2017,Expedition Happiness,"$624,733",,"$624,733"
490,486,1999,Trekkies,"$617,172","$617,172",
491,487,2010,Racing Dreams,"$615,028","$615,028",
492,488,2004,Going Upriver: The Long War of John Kerry,"$614,152","$613,252",$900
493,489,2000,The Filth and the Fury,"$612,192","$612,192",
494,490,2020,V sÃ­ti 18+,"$610,606",,"$610,606"
495,491,2005,Gunner Palace,"$607,502","$607,502",
496,492,1996,Anne Frank Remembered,"$606,713","$606,713",
497,493,2008,Vince Vaughnâs Wild West Comedy Show: 30 Days &…,"$603,894","$603,894",
498,494,2013,We Steal Secrets: The Story of Wikileaks,"$602,042","$166,243","$435,799"
499,495,2015,Il-sa-gag-o,"$598,595",,"$598,595"
500,496,2011,El Bulli: Cooking in Progress,"$595,934","$237,181","$358,753"
501,497,2020,Besser Welt als Nie,"$587,987",,"$587,987"
502,498,2018,Gurrumul,"$587,939",,"$587,939"
503,499,2016,Gleason,"$587,132","$585,233","$1,899"
504,500,2012,Undefeated,"$585,833","$561,054","$24,779"
505,,,,,,
506,501,2013,Salinger,"$583,633","$583,633",
507,502,1999,Mein Liebster Feind,"$574,490","$95,958","$478,532"
508,503,2019,Fiddler: A Miracle of Miracles,"$573,465","$549,385","$24,080"
509,504,2019,Kimbokdong,"$571,979",,"$571,979"
510,505,2020,V sÃ­ti: Za Å¡kolou,"$571,810",,"$571,810"
511,506,2004,Dig,"$567,702","$127,067","$440,635"
512,507,2009,La Danse,"$567,493","$567,493",
513,508,2007,Nanking,"$565,934","$161,182","$404,752"
514,509,2003,The Weather Underground,"$564,632","$564,632",
515,510,2018,Working Class Boy,"$564,295",,"$564,295"
516,511,2017,Le vÃ©nÃ©rable W.,"$559,312",,"$559,312"
517,512,2020,Once Were Brothers: Robbie Robertson and The Band,"$556,321","$449,561","$106,760"
518,513,2017,Dolores,"$555,309","$555,309",
519,514,2011,Into the Abyss,"$550,645","$223,880","$326,765"
520,515,2011,Tornado Alley,"$546,730",,"$546,730"
521,516,2018,My Generation,"$546,116",,"$546,116"
522,517,2015,The Black Panthers: Vanguard of the Revolution,"$545,450","$516,893","$28,557"
523,518,2010,The Art of the Steal,"$544,890","$544,890",
524,519,2018,Water Lilies of Monet - The magic of water and …,"$541,603",,"$541,603"
525,520,2019,CatVideoFest,"$536,350","$470,923","$65,427"
526,521,2019,The Australian Dream,"$535,075",,"$535,075"
527,522,2019,Grateful Dead Meet-Up at the Movies 2019,"$534,611","$534,611",
528,523,2013,Scatter My Ashes at Bergdorf's,"$532,892","$516,719","$16,173"
529,524,2008,Trouble the Water,"$522,751","$520,151","$2,600"
530,525,2019,Frida - Viva la vida,"$522,392",,"$522,392"
531,526,2017,LumiÃ¨re!,"$521,183",,"$521,183"
532,527,2013,Sound City,"$521,181","$422,853","$98,328"
533,528,2019,The Spy Behind Home Plate,"$519,525","$519,525",
534,529,2018,Kusama: Infinity,"$518,674","$360,931","$157,743"
535,530,2015,Listen to Me Marlon,"$517,793","$426,130","$91,663"
536,531,2016,Un tango mas,"$517,651","$100,086","$417,565"
537,532,2019,Demain Est A Nous,"$517,522",,"$517,522"
538,533,2002,The Trials of Henry Kissinger,"$515,678","$515,678",
539,534,2020,CatVideoFest,"$514,145","$478,775","$35,370"
540,535,2014,On Any Sunday: The Next Chapter,"$509,916","$509,916",
541,536,2019,Shakuhachi: One Sound One Life,"$508,836",,"$508,836"
542,537,2017,Byutopul Tumorou,"$507,138",,"$507,138"
543,538,2015,Deli Man: The Movie,"$502,294","$502,294",
544,539,2004,Imelda,"$500,992","$200,992","$300,000"
545,540,2019,Liam Gallagher: As It Was,"$499,881",,"$499,881"
546,541,2015,Chico - Artista Brasileiro,"$496,393",,"$496,393"
547,542,2017,I am Heath Ledger,"$495,980",,"$495,980"
548,543,1999,Mr. Death: The Rise and Fall of Fred A. Leuchte…,"$495,318","$495,318",
549,544,2015,Steve Jobs: The Man in the Machine,"$494,506","$494,506",
550,545,2016,Les habitants,"$491,710",,"$491,710"
551,546,2012,What Richard Did,"$488,327","$2,749","$485,578"
552,547,2007,10 Questions for the Dalai Lama,"$484,546","$224,546","$260,000"
553,548,2019,63 Up,"$483,685","$483,685",
554,549,2018,Spitfire,"$482,147",,"$482,147"
555,550,2017,Dwie Korony,"$481,896",,"$481,896"
556,551,2014,The Green Prince,"$480,408","$258,237","$222,171"
557,552,2017,Letters from Baghdad,"$479,651","$336,223","$143,428"
558,553,2004,End of the Century: The Story of the Ramones,"$478,809","$391,950","$86,859"
559,554,2017,G.E.M.: G-Force,"$476,613",,"$476,613"
560,555,2003,Amandla! A Revolution in Four Part Harmony,"$475,923","$405,331","$70,592"
561,556,2018,Jinsei furÃ»tsu,"$471,514",,"$471,514"
562,557,2011,Pearl Jam Twenty,"$471,334","$471,334",
563,558,2000,Into the Arms of Strangers: Stories of the Kind…,"$470,952","$382,807","$88,145"
564,559,2017,Poorna,"$468,713",,"$468,713"
565,560,2018,Matangi/Maya/M.I.A.,"$467,363","$230,808","$236,555"
566,561,2019,Hail Satan?,"$467,295","$424,284","$43,011"
567,562,2014,Last Days in Vietnam,"$466,114","$466,114",
568,563,2018,Scotty and the Secret History of Hollywood,"$461,689","$461,689",
569,564,2012,Wuthering Heights,"$460,041",,"$460,041"
570,565,2020,Woman,"$456,503",,"$456,503"
571,566,2018,The Gospel According to Andre,"$455,122","$400,713","$54,409"
572,567,2010,The Most Dangerous Man in America: Daniel Ellsb…,"$453,650","$453,650",
573,568,2006,The Devil and Daniel Johnston,"$453,337","$334,450","$118,887"
574,569,2018,Leaning into the Wind,"$452,372","$400,530","$51,842"
575,570,2017,Wo de shi pian,"$451,030",,"$451,030"
576,571,2015,Heart of a Dog,"$450,422","$420,813","$29,609"
577,572,2004,Outfoxed - Rupert Murdoch's War on Journalism,"$449,487","$405,900","$43,587"
578,573,2015,Going Clear: Scientology and the Prison of Belief,"$449,344",,"$449,344"
579,574,2006,The Heart of the Game,"$446,631","$444,687","$1,944"
580,575,2012,The Last Reef 3D,"$443,291",,"$443,291"
581,576,2019,Camino Skies,"$443,029",,"$443,029"
582,577,2016,Chasing Asylum,"$440,413",,"$440,413"
583,578,2004,Short Cut to Nirvana: Kumbh Mela,"$439,651","$381,225","$58,426"
584,579,2004,Lions 3D: Roar of the Kalahari,"$436,705",,"$436,705"
585,580,2015,Rosenwald,"$433,924","$433,924",
586,581,2010,I Want Your Money,"$433,588","$433,588",
587,582,2019,Tintoretto. A Rebel in Venice,"$431,999",,"$431,999"
588,583,2017,Eric Clapton: A Life in 12 Bars,"$431,951",,"$431,951"
589,584,1981,This is Elvis,"$429,146","$429,146",
590,585,2007,The Singing Revolution,"$426,855","$426,855",
591,586,2018,El Mayor Regalo,"$426,389",,"$426,389"
592,587,2015,Das groÃe Museum,"$426,125","$18,020","$408,105"
593,588,2019,1919 yukwansun,"$423,475",,"$423,475"
594,589,2014,She's Beautiful When She's Angry,"$423,143","$423,143",
595,590,1999,The Last Days,"$419,762","$419,762",
596,591,2001,Porn Star: The Legend of Ron Jeremy,"$419,597","$419,597",
597,592,2013,Watermark,"$417,215","$417,215",
598,593,2004,In the Realms of the Unreal,"$413,708","$413,708",
599,594,2015,The Hunting Ground,"$411,115","$405,917","$5,198"
600,595,2006,In Search of Mozart,"$410,390","$225,000","$185,390"
601,596,2012,West of Memphis,"$407,517","$309,864","$97,653"
602,597,2017,Chasing Trane: The John Coltrane Documentary,"$406,284","$406,284",
603,598,2004,The Hunting of the President,"$405,472","$376,552","$28,920"
604,599,2017,Whitney: Can I Be Me,"$403,589",,"$403,589"
605,600,2003,Australia: Land Beyond Time,"$398,083",,"$398,083"
606,,,,,,
607,601,2013,Dirty Wars,"$397,505","$371,245","$26,260"
608,602,2004,"Still, We Believe: The Boston Red Sox Movie","$396,803","$396,803",
609,603,2007,Manufactured Landscapes,"$395,623","$395,623",
610,604,2004,"Broadway: The Golden Age, by the Legends Who We…","$391,718","$353,580","$38,138"
611,605,2012,Detropia,"$390,170","$390,024",$146
612,606,2016,Painting The Modern Garden - Monet to Matisse (…,"$387,389",,"$387,389"
613,607,2018,De chaque instant,"$385,229",,"$385,229"
614,608,2008,Where in the World is Osama Bin Laden?,"$384,955","$384,955",
615,609,2020,Ausgrissn In der Lederhosen nach Las Vegas,"$382,526",,"$382,526"
616,610,2016,"Life, Animated","$382,203","$254,738","$127,465"
617,611,2000,Bittersweet Motel,"$380,927","$380,927",
618,612,2011,Nostalgia de la luz,"$380,633","$142,285","$238,348"
619,613,2019,BEEF: Ð Ð£Ð¡Ð¡ÐÐÐ Ð¥ÐÐ-Ð¥ÐÐ,"$379,161",,"$379,161"
620,614,2003,Im Toten Winkel - Hitlers SekretÃ¤rin,"$376,886","$376,886",
621,615,2017,Pecking Order,"$369,960",,"$369,960"
622,616,2013,Hava Nagila: The Movie,"$368,724","$368,724",
623,617,2010,George Harrison: Living in the Material World,"$367,734",,"$367,734"
624,618,2016,Obedience,"$366,688",,"$366,688"
625,619,2009,Soul Power,"$366,033","$207,121","$158,912"
626,620,2013,When Comedy Went to School,"$365,548","$365,548",
627,621,2016,Eat That Question: Frank Zappa in His Own Words,"$365,540","$355,074","$10,466"
628,622,2014,Glen Campbell: I'll Be Me,"$365,522","$365,522",
629,623,2019,Cunningham,"$364,891","$265,102","$99,789"
630,624,2019,Hitsville: The Making Of Motown,"$360,141",,"$360,141"
631,625,2016,De kinderen van juf Kiet,"$359,546",,"$359,546"
632,626,2018,"Westwood: Punk, Icon, Activist","$356,793","$58,799","$297,994"
633,627,2018,Sanz: Lo que fui es lo que soy,"$354,591",,"$354,591"
634,628,2019,The Kingmaker,"$352,274","$122,587","$229,687"
635,629,2017,Long Strange Trip: The Untold Story of the Grat…,"$351,957","$351,957",
636,630,2017,Citizen Jane: Battle for the City,"$348,355","$313,411","$34,944"
637,631,2017,Open Fire,"$346,515",,"$346,515"
638,632,2018,SECHSKIES Eighteen,"$345,081",,"$345,081"
639,633,2019,Capital in the Twenty-First Century,"$344,048",,"$344,048"
640,634,2017,Buena Vista Social ClubâAdios,"$343,483","$123,445","$220,038"
641,635,2013,Koch,"$342,941","$342,941",
642,636,2006,This Film is Not Yet Rated,"$341,768","$306,845","$34,923"
643,637,2018,Exhibition on Screen: Degas Passion for Perfection,"$340,673",,"$340,673"
644,638,2010,GasLand,"$339,505","$30,846","$308,659"
645,639,2011,Happy People: A Year in the Taiga,"$338,987","$338,987",
646,640,2015,The Look of Silence,"$337,331","$109,089","$228,242"
647,641,2010,Kings of Pastry,"$336,386","$336,386",
648,642,2015,Enchanted Kingdom,"$336,286",,"$336,286"
649,643,2019,#AnneFrank. Vite parallele,"$335,955",,"$335,955"
650,644,2012,Something From Nothing: The Art of Rap,"$334,126","$288,738","$45,388"
651,645,2015,Ballet 422,"$333,554","$333,554",
652,646,2013,Mysteries of the Unseen World,"$332,944",,"$332,944"
653,647,2011,Being Elmo: A Puppeteer's Journey,"$332,435","$303,791","$28,644"
654,648,2008,Standard Operating Procedure,"$332,120","$228,830","$103,290"
655,649,2018,Pollandeuro Gan Aideul,"$330,326",,"$330,326"
656,650,2014,Elaine Stritch: Shoot Me,"$330,083","$330,083",
657,651,2004,Bukowski: Born Into This,"$328,898","$311,431","$17,467"
658,652,2019,Meeting Gorbachev,"$327,912","$251,837","$76,075"
659,653,2017,CarrÃ© 35,"$327,453",,"$327,453"
660,654,2012,The Central Park Five,"$325,653","$325,653",
661,655,2016,V paprscÃ­ch slunce,"$324,563","$99,436","$225,127"
662,656,2005,The Boys of Baraka,"$323,860","$323,860",
663,657,1991,The Last Waltz,"$322,563","$321,952",$611
664,658,2019,The River in Me,"$321,704",,"$321,704"
665,659,2015,Exhibition on Screen: The Impressionists,"$320,754",,"$320,754"
666,660,2010,A Film Unfinished,"$320,486","$320,486",
667,661,2020,Cheng Shi Meng,"$320,000",,"$320,000"
668,662,2019,Ask Dr. Ruth,"$319,284","$297,195","$22,089"
669,663,2007,For the Bible Tells Me So,"$318,584","$312,751","$5,833"
670,664,2012,Room 237,"$318,055","$263,411","$54,644"
671,665,2017,David Lynch: The Art Life,"$316,386","$171,419","$144,967"
672,666,2012,The Other Dream Team,"$314,444","$134,109","$180,335"
673,667,2004,America's Heart and Soul,"$314,000","$314,000",
674,668,2017,Obit,"$312,777","$312,777",
675,669,2014,The Hornetâs Nest,"$312,706","$312,706",
676,670,2016,SÃ¼dafrika: Der Kinofilm,"$311,092",,"$311,092"
677,671,2009,In Search of Beethoven,"$310,555",,"$310,555"
678,672,2015,Kanashimi no wasurekata: Documentary of Nogizak…,"$309,932",,"$309,932"
679,673,2019,Free Spirit,"$308,940","$284,229","$24,711"
680,674,2008,"Bigger, Stronger, Faster*","$308,693","$308,575",$118
681,675,2019,"Psychomagie, un art pour guÃ©rir","$308,233",,"$308,233"
682,676,2018,Planeta Äesko,"$306,423",,"$306,423"
683,677,2017,Black Sabbath: The End of the End,"$306,415",,"$306,415"
684,678,2020,Attila,"$305,206",,"$305,206"
685,679,2008,Taxi to the Dark Side,"$304,472","$274,661","$29,811"
686,680,2016,El Bosco. El jardÃ­n de los sueÃ±os,"$303,764",,"$303,764"
687,681,2016,Trabantem do poslednÃ­ho dechu,"$302,130",,"$302,130"
688,682,2007,God Grew Tired of Us: The Story of Lost Boys of…,"$301,447","$301,447",
689,683,2007,Crazy Love,"$301,027","$301,027",
690,684,2014,I Am Eleven,"$300,968","$300,968",
691,685,1999,42 Up,"$300,680","$300,680",
692,686,2003,Bonhoeffer,"$296,181","$296,181",
693,687,2014,Dancing in Jaffa,"$296,160","$136,257","$159,903"
694,688,2018,Planet Dinosaur,"$296,118",,"$296,118"
695,689,2015,Ronaldo,"$294,455",,"$294,455"
696,690,2019,Chilgok gasinadeul,"$292,342",,"$292,342"
697,691,2002,Power & Terror: Noam Chomsky in Our Times,"$291,789","$291,789",
698,692,2016,Voyage of Time,"$291,783",,"$291,783"
699,693,2018,Generation Wealth,"$290,369","$237,709","$52,660"
700,694,2018,"Garabandal, solo Dios lo sabe","$290,366",,"$290,366"
701,695,2016,Bobby Sands: 66 Days,"$289,938",,"$289,938"
702,696,2002,Scratch,"$289,885","$289,885",
703,697,2019,Exhibition On Screen: Van Gogh & Japan,"$289,468",,"$289,468"
704,698,2013,Linsanity,"$288,772","$258,427","$30,345"
705,699,2014,Antarctica: A Year on Ice,"$288,757","$288,757",
706,700,2015,Above and Beyond,"$288,751","$288,751",
707,,,,,,
708,701,2010,Last Train Home,"$288,328","$288,328",
709,702,2006,American Hardcore,"$287,987","$279,665","$8,322"
710,703,2017,Risk,"$287,781","$200,219","$87,562"
711,704,2000,American Pimp,"$287,724","$287,724",
712,705,2009,Outrage,"$287,198","$287,198",
713,706,2012,5 Broken Cameras,"$283,292","$109,983","$173,309"
714,707,2020,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",
715,708,2018,SengirÄ,"$281,846",,"$281,846"
716,709,2018,El Silencio de Otros,"$281,511",,"$281,511"
717,710,2019,Mike Wallace is Here,"$281,245","$281,245",
718,711,2019,Chuva E Cantoria Na Aldeia Dos Mortos,"$279,823",,"$279,823"
719,712,2018,Science Fair,"$279,491","$278,350","$1,141"
720,713,2016,Sky Ladder: The Art of Cai Guo-Qiang,"$277,761",,"$277,761"
721,714,2014,The Unknown Known,"$275,658","$275,658",
722,715,2008,Morning Light,"$275,093","$275,093",
723,716,2019,Aspromonte - La terra degli ultimi,"$274,858",,"$274,858"
724,717,2019,Common Destiny,"$274,390",,"$274,390"
725,718,2004,The Yes Men,"$274,204","$198,975","$75,229"
726,719,2015,Older Than Ireland,"$273,776",,"$273,776"
727,720,2011,The Black Power Mixtape: 1967-1975,"$273,749","$273,749",
728,721,2018,The King,"$273,610","$259,291","$14,319"
729,722,2008,Planet B-Boy,"$272,791","$272,791",
730,723,2010,Countdown to Zero,"$272,040","$272,040",
731,724,2008,Surfwise,"$269,994","$269,994",
732,725,2015,Women He's Undressed,"$269,394",,"$269,394"
733,726,2018,The World Before Your Feet,"$268,646","$268,646",
734,727,2010,South of the Border,"$268,600","$198,600","$70,000"
735,728,2008,Harvard Beats Yale 29-29,"$268,431","$268,431",
736,729,2011,Conan O'Brien Can't Stop,"$267,965","$267,965",
737,730,2014,Corpus Christi,"$267,549",,"$267,549"
738,731,2010,Breath Made Visible,"$267,281","$267,281",
739,732,2019,RomÃ¢nia neÃ®mblÃ¢nzitÄ,"$267,108",,"$267,108"
740,733,2018,The Final Year,"$265,072","$191,900","$73,172"
741,734,2011,Phil Ochs: There but for Fortune,"$263,723","$263,723",
742,735,2004,Mayor of the Sunset Strip,"$262,564","$257,315","$5,249"
743,736,2019,Leonardo Cinquecento,"$262,446",,"$262,446"
744,737,2004,De fem benspaend,"$262,413","$150,966","$111,447"
745,738,2016,Mimimalism: A Documentary About the Important T…,"$261,865","$261,865",
746,739,2019,Dan Carter: A Perfect 10,"$261,831",,"$261,831"
747,740,2017,"Exhibition On Screen: I, Claude Monet","$260,613",,"$260,613"
748,741,2007,Steep,"$259,840","$259,840",
749,742,2017,No Ordinary Sheila,"$259,821",,"$259,821"
750,743,2017,Becoming Who I Was,"$259,386",,"$259,386"
751,744,2011,PASSIONE: A Musical Adventure,"$258,222","$258,222",
752,745,2014,Alive Inside,"$256,682","$256,682",
753,746,2010,Jean-Michel Basquiat: The Radiant Child,"$256,242","$256,242",
754,747,2019,One Child Nation,"$254,450","$252,734","$1,716"
755,748,2004,The Agronomist,"$254,346","$226,189","$28,157"
756,749,2006,The War Tapes,"$254,190","$254,190",
757,750,2004,This Old Cub,"$253,531","$253,531",
758,751,2013,The Summit,"$253,447","$219,346","$34,101"
759,752,2011,Life in a Day,"$252,788","$252,788",
760,753,2012,Entre les Bras,"$251,482",,"$251,482"
761,754,2018,Oceans: Our Blue Planet,"$251,193",,"$251,193"
762,755,2017,Het doet zo zeer,"$251,057",,"$251,057"
763,756,2019,Shusenjo: The Main Battleground of the Comfort …,"$249,684",,"$249,684"
764,757,2005,Gay Sex in the 70's,"$249,565","$249,565",
765,758,2009,Les plages d'AgnÃ¨s,"$249,294","$239,711","$9,583"
766,759,2015,Hitting the Apex,"$248,637",,"$248,637"
767,760,2014,Mistaken for Strangers,"$248,397","$138,991","$109,406"
768,761,2002,Sex with Strangers,"$247,740","$247,740",
769,762,2018,Le Grand Bal,"$247,172",,"$247,172"
770,763,2014,The Galapagos Affair: Satan Came to Eden,"$247,159","$247,159",
771,764,2008,Enlighten Up!,"$246,649","$246,649",
772,765,2005,Watermarks,"$245,845","$245,845",
773,766,2010,Queen of the Sun,"$244,995","$244,995",
774,767,2012,The Waiting Room,"$244,092","$244,092",
775,768,2002,Promises,"$243,769","$243,769",
776,769,2005,Warren Miller's Impact,"$243,757",,"$243,757"
777,770,2017,Chavela,"$243,176","$148,666","$94,510"
778,771,2011,My Perestroika,"$242,706","$242,706",
779,772,1996,Hype!,"$242,021","$242,021",
780,773,2006,49 Up,"$241,772","$241,772",
781,774,2018,The Heart of Man,"$241,657",,"$241,657"
782,775,2019,Samurai Architect Tadao Ando,"$241,398",,"$241,398"
783,776,1999,Dancemaker,"$240,514","$240,514",
784,777,2006,Iraq in Fragments,"$240,462","$204,462","$36,000"
785,778,2015,I Believe in Miracles,"$239,836",,"$239,836"
786,779,2003,Billabong Odyssey,"$239,380","$155,500","$83,880"
787,780,2019,Tony,"$239,270",,"$239,270"
788,781,2019,ValstybÄs paslaptis,"$237,786",,"$237,786"
789,782,1998,A Place Called Chiapas,"$237,779","$237,779",
790,783,2005,New York Doll,"$237,136","$219,672","$17,464"
791,784,2014,Art and Craft,"$237,091","$237,091",
792,785,2011,The Interrupters,"$236,957","$236,957",
793,786,2018,Kilian Jornet: Path to Everest,"$236,322",,"$236,322"
794,787,2014,James Cameronâs Deepsea Challenge 3D,"$234,990","$149,879","$85,111"
795,788,2019,Varda by Agnes,"$233,219","$160,765","$72,454"
796,789,2000,Sex: The Annabel Chong Story,"$233,076","$233,076",
797,790,2017,The Plan,"$232,409",,"$232,409"
798,791,2016,Hockney,"$231,717","$120,745","$110,972"
799,792,2013,A Place at the Table,"$231,378","$231,378",
800,793,2007,My Kid Could Paint That,"$231,274","$231,274",
801,794,2015,The True Cost,"$230,362",,"$230,362"
802,795,2012,Crazy Horse,"$230,180","$154,691","$75,489"
803,796,2007,What Would Jesus Buy?,"$229,270","$200,010","$29,260"
